,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Итого бобров,Recency,Frequency,Monetary
32,SU178358,Департамент телекоммуникаций,Сервис,Первая линия,Инженер технической поддержки,нет,"2 г., 10 мес.,30 дн.",Мужской,30,100,7.0,2.0,0.0
33,SU199234,Департамент по работе с персоналом,,Развитие бренда работодателя,Стажер,нет,"0 г., 3 мес.,22 дн.",Мужской,19,320,192.0,4.0,85.0
34,SU75375,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"8 г., 10 мес.,29 дн.",Мужской,45,200,67.0,1.0,0.0
35,SU199892,Департамент внутренней автоматизации,,центральная служба технической поддержки,Стажер,нет,"0 г., 0 мес.,23 дн.",Женский,19,475,6.0,8.0,0.0
36,SU99248,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Аналитик,нет,"6 г., 7 мес.,29 дн.",Женский,26,2670,-48.0,41.0,5410.0
37,SU188408,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Руководитель группы,РМ,"2 г., 3 мес.,13 дн.",Мужской,38,2200,-49.0,7.0,0.0
38,SU197667,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Младший инженер-разработчик,нет,"1 г., 0 мес.,16 дн.",Мужской,22,2535,-48.0,40.0,0.0
39,SU179551,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-электрик,нет,"2 г., 10 мес.,19 дн.",Мужской,64,0,,0.0,0.0
40,SU197268,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Младший инженер-разработчик,нет,"1 г., 2 мес.,7 дн.",Женский,22,1800,251.0,12.0,0.0
41,SU199960,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 0 мес.,17 дн.",Женский,23,200,6.0,1.0,0.0
42,SU199566,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Стажер,нет,"0 г., 2 мес.,17 дн.",Мужской,21,1400,7.0,12.0,1190.0
43,SU198038,Департамент маркетинга,группа внешних коммуникаций,,Младший менеджер по внешним коммуникациям,нет,"0 г., 9 мес.,14 дн.",Мужской,22,1165,-49.0,13.0,100.0
44,SU121970,Финансовый департамент,,отдел по расчету с персоналом,Ведущий экономист,нет,"5 г., 3 мес.,14 дн.",Женский,28,2075,-21.0,60.0,6760.0
45,SU107821,Департамент внутренней автоматизации,,группа автоматизации производственных процессов,Старший консультант по внедрению,нет,"5 г., 10 мес.,15 дн.",Мужской,26,1590,-21.0,32.0,5700.0
46,SU197421,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"1 г., 1 мес.,13 дн.",Мужской,36,550,-21.0,8.0,1285.0
47,SU199832,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Стажер,нет,"0 г., 0 мес.,31 дн.",Мужской,22,550,67.0,5.0,0.0
48,SU199233,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Инженер,нет,"0 г., 3 мес.,15 дн.",Мужской,36,705,67.0,9.0,0.0
49,SU166390,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Инженер-разработчик,нет,"3 г., 2 мес.,9 дн.",Женский,22,2750,-49.0,36.0,3145.0
50,SU198054,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Инженер,нет,"0 г., 9 мес.,15 дн.",Мужской,34,2725,-54.0,147.0,440.0
51,SU69289,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"11 г., 0 мес.,16 дн.",Женский,32,200,6.0,1.0,2350.0
52,SU149742,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Ведущий инженер,нет,"4 г., 1 мес.,22 дн.",Мужской,36,785,129.0,7.0,790.0
53,SU199652,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Стажер,нет,"0 г., 1 мес.,29 дн.",Женский,20,850,7.0,11.0,0.0
54,SU56641,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,"Эксперт, Тимлид",ТЛ,"11 г., 1 мес.,18 дн.",Мужской,31,7875,-49.0,105.0,24570.0
55,SU199072,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Стажер,нет,"0 г., 4 мес.,22 дн.",Мужской,20,580,10.0,7.0,0.0
56,SU199897,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Системный аналитик,нет,"0 г., 0 мес.,11 дн.",Мужской,29,200,,1.0,0.0
57,SU83894,Департамент внутренней автоматизации,,центральная служба технической поддержки,Ведущий инженер технической поддержки,нет,"8 г., 11 мес.,28 дн.",Женский,32,2405,-48.0,39.0,23445.0
58,SU198939,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Стажер,нет,"0 г., 5 мес.,11 дн.",Женский,20,600,130.0,8.0,0.0
59,SU196214,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Младший инженер,нет,"1 г., 8 мес.,19 дн.",Мужской,24,3880,-54.0,122.0,7010.0
60,SU199869,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Технический писатель,нет,"0 г., 0 мес.,31 дн.",Женский,35,500,67.0,4.0,0.0
61,SU44374,Департамент телекоммуникаций,,группа сетевых решений,Эксперт,нет,"13 г., 5 мес.,14 дн.",Мужской,45,2350,-49.0,18.0,14350.0
62,SU197835,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Менеджер по продвижению решений,РМ,"0 г., 11 мес.,12 дн.",Женский,26,2635,67.0,17.0,2465.0
63,SU93511,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 2 мес.,17 дн.",Мужской,34,1870,-21.0,28.0,8700.0
64,SU174745,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"3 г., 0 мес.,5 дн.",Мужской,35,4260,-55.0,160.0,11775.0
65,SU142070,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Ведущий сервис-менеджер,нет,"4 г., 6 мес.,25 дн.",Мужской,33,4970,-48.0,58.0,17290.0
66,SU199098,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Специалист по продвижению решений,нет,"0 г., 4 мес.,12 дн.",Женский,26,1210,6.0,18.0,807.0
67,SU172721,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Инженер технической поддержки,нет,"3 г., 1 мес.,22 дн.",Мужской,24,200,67.0,1.0,0.0
68,SU40476,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"14 г., 3 мес.,24 дн.",Мужской,37,1305,-48.0,23.0,3470.0
69,SU199868,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 1 мес.,2 дн.",Женский,19,540,36.0,11.0,0.0
70,SU3200,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,нет,"15 г., 6 мес.,8 дн.",Женский,40,700,-21.0,11.0,3700.0
71,SU199040,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Старший системный инженер,нет,"0 г., 4 мес.,28 дн.",Мужской,41,1100,7.0,16.0,0.0
72,SU196715,Департамент бизнес-приложений,,группа консультантов по производству,Ведущий консультант по внедрению бизнес-приложений,нет,"1 г., 4 мес.,26 дн.",Мужской,39,875,-21.0,16.0,1400.0
73,SU196770,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"1 г., 4 мес.,16 дн.",Мужской,22,3255,-48.0,41.0,1500.0
74,SU137063,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"4 г., 5 мес.,23 дн.",Женский,35,1265,,6.0,3400.0
75,SU3169,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Менеджер по тестированию,нет,"21 г., 0 мес.,3 дн.",Женский,40,2030,-21.0,26.0,10620.0
76,SU196334,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,нет,"1 г., 7 мес.,19 дн.",Мужской,39,320,135.0,3.0,0.0
77,SU198454,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Младший инженер-разработчик,нет,"0 г., 6 мес.,30 дн.",Мужской,22,2360,-54.0,138.0,1500.0
78,SU196818,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"1 г., 4 мес.,17 дн.",Мужской,22,4550,-48.0,55.0,5655.0
79,SU199933,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Младший администратор проектов,нет,"0 г., 0 мес.,11 дн.",Женский,25,200,,1.0,0.0
80,SU198784,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Стажер,нет,"0 г., 6 мес.,6 дн.",Мужской,21,1400,-21.0,21.0,0.0
81,SU199602,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Стажер,нет,"0 г., 1 мес.,23 дн.",Мужской,20,750,7.0,9.0,0.0
82,SU41637,Департамент маркетинга,группа цифрового маркетинга,,Ведущий менеджер по цифровому маркетингу,нет,"13 г., 11 мес.,28 дн.",Женский,39,100,130.0,2.0,2980.0
83,SU36663,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Старший сервис-менеджер,нет,"14 г., 10 мес.,4 дн.",Женский,39,2800,-48.0,34.0,3500.0
84,SU199443,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Менеджер по маркетингу,нет,"0 г., 3 мес.,2 дн.",Женский,27,200,,1.0,0.0
85,SU126465,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Младший менеджер проектов,нет,"5 г., 1 мес.,26 дн.",Мужской,29,970,-54.0,11.0,0.0
86,SU199563,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 2 мес.,10 дн.",Мужской,20,1270,-25.0,11.0,0.0
87,SU125970,Департамент продаж и менеджмента проектов,,группа управления проектами по разработке программных решений,Младший менеджер проектов,нет,"5 г., 2 мес.,10 дн.",Мужской,28,2395,-48.0,19.0,11470.0
88,SU174473,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Инженер,нет,"0 г., 1 мес.,16 дн.",Мужской,28,300,7.0,3.0,0.0
89,SU159836,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"3 г., 7 мес.,16 дн.",Мужской,25,3050,43.0,8.0,225.0
90,SU196133,Департамент маркетинга,группа внешних коммуникаций,,Выпускающий редактор,нет,"1 г., 8 мес.,18 дн.",Мужской,59,600,42.0,9.0,0.0
91,SU198277,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Специалист по продвижению решений,нет,"0 г., 8 мес.,6 дн.",Женский,33,2225,-21.0,19.0,0.0
92,SU3207,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,,Бухгалтер,нет,"17 г., 10 мес.,10 дн.",Женский,64,100,67.0,9.0,700.0
93,SU190623,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"2 г., 1 мес.,20 дн.",Мужской,26,5450,-47.0,44.0,4300.0
94,SU198060,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Младший инженер технической поддержки,нет,"0 г., 9 мес.,9 дн.",Женский,32,0,,0.0,0.0
95,SU99836,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"6 г., 6 мес.,29 дн.",Мужской,29,1730,-49.0,16.0,14630.0
96,SU197014,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 3 мес.,8 дн.",Мужской,23,2085,-48.0,40.0,330.0
97,SU439,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Ведущий системный инженер,нет,"21 г., 11 мес.,30 дн.",Мужской,41,1100,,2.0,5200.0
98,SU108260,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Ведущий инженер-разработчик,нет,"5 г., 10 мес.,8 дн.",Мужской,26,0,,0.0,0.0
99,SU197750,Департамент продаж и менеджмента проектов,,группа сметчиков,Инженер-сметчик,нет,"0 г., 11 мес.,11 дн.",Женский,35,2315,-54.0,163.0,2750.0
100,SU199132,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"0 г., 3 мес.,30 дн.",Мужской,32,600,70.0,10.0,385.0
101,SU197785,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"0 г., 11 мес.,18 дн.",Мужской,28,1900,-48.0,38.0,2000.0
102,SU168659,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"3 г., 1 мес.,19 дн.",Мужской,26,8215,-54.0,128.0,11045.0
103,SU196482,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"1 г., 6 мес.,26 дн.",Мужской,33,2410,-53.0,22.0,770.0
104,SU271,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"18 г., 7 мес.,5 дн.",Женский,40,300,70.0,2.0,5570.0
105,SU3210,Финансовый департамент,,отдел по расчету с персоналом,Эксперт по организации деловых поездок,нет,"21 г., 0 мес.,3 дн.",Женский,43,700,98.0,1.0,1300.0
106,SU197406,Департамент по работе с персоналом,отдел рекрутинга,,HR-менеджер,нет,"1 г., 1 мес.,20 дн.",Женский,25,2550,-19.0,19.0,4300.0
107,SU199736,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,Специалист,нет,"0 г., 1 мес.,16 дн.",Женский,23,575,37.0,6.0,0.0
108,SU274,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Руководитель направления,РМ,"17 г., 6 мес.,23 дн.",Мужской,45,305,255.0,3.0,8100.0
109,SU95276,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа тестировщиков,Инженер-тестировщик,нет,"6 г., 11 мес.,25 дн.",Женский,29,755,-21.0,15.0,5500.0
110,SU82781,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,нет,"9 г., 1 мес.,2 дн.",Мужской,33,1950,-21.0,17.0,11100.0
111,SU130464,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Инженер,нет,"5 г., 0 мес.,9 дн.",Мужской,37,600,-48.0,12.0,0.0
112,SU40427,Транспортный отдел,,Группа обслуживания и сервиса,"Водитель, Администратор",нет,"14 г., 2 мес.,29 дн.",Мужской,47,200,,1.0,3400.0
113,SU199831,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Главный инженер,нет,"0 г., 0 мес.,11 дн.",Мужской,36,200,,1.0,0.0
114,SU197373,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,нет,"1 г., 1 мес.,26 дн.",Мужской,26,1990,-21.0,43.0,1690.0
115,SU67226,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"11 г., 3 мес.,7 дн.",Мужской,41,1225,-48.0,21.0,8700.0
116,SU149461,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Специалист по ведению документооборота,нет,"4 г., 1 мес.,1 дн.",Женский,23,890,-55.0,130.0,4185.0
117,SU2676,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"19 г., 9 мес.,25 дн.",Мужской,45,945,-54.0,170.0,1500.0
118,SU177099,Финансовый департамент,,отдел по расчету с персоналом,Старший экономист,нет,"2 г., 10 мес.,30 дн.",Женский,26,2710,-54.0,25.0,5585.0
119,SU197303,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Младший инженер-разработчик,нет,"1 г., 2 мес.,3 дн.",Мужской,37,3370,-53.0,56.0,600.0
120,SU199863,Департамент по работе с персоналом,,отдел корпоративной культуры и внутренних коммуникаций,Младший менеджер по развитию корпоративной культуры,нет,"0 г., 0 мес.,18 дн.",Женский,23,200,67.0,1.0,0.0
121,SU172282,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Младший инженер-разработчик,нет,"3 г., 1 мес.,23 дн.",Мужской,23,0,,0.0,0.0
122,SU86906,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"8 г., 5 мес.,14 дн.",Мужской,32,1525,-20.0,7.0,8500.0
123,SU131809,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Младший системный аналитик,нет,"5 г., 0 мес.,2 дн.",Мужской,30,0,,0.0,0.0
124,SU75447,Финансовый департамент,отдел расчетов с подрядчиками и учета затрат,,Старший бухгалтер,нет,"9 г., 11 мес.,28 дн.",Женский,32,570,-54.0,110.0,6380.0
125,SU96090,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"6 г., 10 мес.,24 дн.",Мужской,27,5,135.0,1.0,3000.0
126,SU199840,Административно-эксплуатационный департамент,Административный отдел,курьеры,Курьер,нет,"0 г., 1 мес.,7 дн.",Мужской,19,200,,1.0,0.0
127,SU1225,Департамент разработки программного обеспечения,,группа развития бизнеса,Финансовый аналитик,нет,"21 г., 1 мес.,6 дн.",Женский,43,1310,221.0,5.0,9250.0
128,SU193701,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"1 г., 11 мес.,25 дн.",Мужской,47,0,,0.0,0.0
129,SU197939,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Младший консультант по внедрению,нет,"0 г., 10 мес.,7 дн.",Женский,21,2110,-48.0,37.0,2520.0
130,SU199266,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 3 мес.,23 дн.",Мужской,22,400,70.0,2.0,0.0
131,SU164709,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший дежурный инженер ЦОД,нет,"3 г., 3 мес.,24 дн.",Мужской,23,2530,-49.0,43.0,3190.0
132,SU95644,Департамент внутренней автоматизации,,группа системных администраторов,Инженер,нет,"6 г., 11 мес.,5 дн.",Мужской,29,5,,1.0,5405.0
133,SU197457,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 1 мес.,7 дн.",Мужской,21,2455,-47.0,48.0,2450.0
134,SU179099,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"2 г., 10 мес.,19 дн.",Мужской,42,0,,0.0,0.0
135,SU166880,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Специалист по продвижению решений,нет,"3 г., 2 мес.,23 дн.",Женский,24,200,251.0,1.0,900.0
136,SU88853,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Ведущий администратор проектов,нет,"8 г., 1 мес.,25 дн.",Женский,35,200,,1.0,4740.0
137,SU2802,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"18 г., 0 мес.,23 дн.",Мужской,50,215,12.0,2.0,1600.0
138,SU175059,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,"Старший системный инженер, Тимлид",ТЛ,"2 г., 11 мес.,30 дн.",Мужской,32,2470,-48.0,36.0,6920.0
139,SU441,Химкинское обособленное подразделение,,,Инженер,нет,"18 г., 0 мес.,9 дн.",Мужской,46,1800,288.0,5.0,6650.0
140,SU67166,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Ведущий инженер-разработчик,нет,"10 г., 1 мес.,24 дн.",Мужской,38,0,,0.0,0.0
141,SU152463,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"4 г., 0 мес.,6 дн.",Мужской,41,1850,190.0,8.0,7205.0
142,SU197608,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,нет,"1 г., 0 мес.,23 дн.",Женский,25,1795,-48.0,37.0,1270.0
143,SU199228,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Стажер,нет,"0 г., 3 мес.,28 дн.",Мужской,21,650,7.0,10.0,0.0
144,SU56530,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"11 г., 6 мес.,5 дн.",Мужской,49,200,,1.0,0.0
145,SU157359,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"3 г., 8 мес.,27 дн.",Мужской,37,1350,-48.0,24.0,7530.0
